,FIP,UNITS,GasPropaneUnits,GasPropane%
108,4023,117.23421884938836,43.75465624165899,0.3732242742016383
109,4025,325.307732042982,137.94618697317793,0.4240482883909795
110,4027,327.9040970006521,102.0950466053706,0.31135642262245833
111,5001,58.24435025784218,17.7264892341649,0.30434693074420827
112,5003,84.5318037017567,27.453368579095034,0.3247697005964219
113,5005,105.53178766528121,32.58213313786908,0.3087423596121668
114,5007,291.5405424138105,98.34732796983437,0.3373367119220108
115,5009,89.25090272430165,28.510915062928156,0.3194467976531185
116,5011,42.52306423936177,13.320974859197753,0.31326469758186193
117,5013,25.115518393996698,8.727903753028427,0.3475103964055401
118,5015,68.64938166467435,22.504689000680678,0.32782070945092223
119,5017,41.39051072993266,13.1227679455696,0.31704774147856835
120,5019,60.45006479996345,19.051099376848036,0.3151543251424199
